Arabic,Phonetics
ا,a (isolated)
ب,b (isolated)
بـ,b (initial)
ـبـ,b (medial)
ـب,b (final)
ت,t (isolated)
تـ,t (initial)
ـتـ,t (medial)
ـت,t (final)
ث,th (isolated)
ثـ,th (initial)
ـثـ,th (medial)
ـث,th (final)
ج,j (isolated)
جـ,j (initial)
ـجـ,j (medial)
ـج,j (final)
ح,ḥ (isolated)
حـ,ḥ (initial)
ـحـ,ḥ (medial)
ـح,ḥ (final)
خ,kh (isolated)
خـ,kh (initial)
ـخـ,kh (medial)
ـخ,kh (final)
س,s (isolated)
سـ,s (initial)
ـسـ,s (medial)
ـس,s (final)
ش,sh (isolated)
شـ,sh (initial)
ـشـ,sh (medial)
ـش,sh (final)
باب,bab (door)
تاج,taj (crown)
حوت,ḥūt (whale)
شمس,shams (sun)
د,d (isolated)
دـ,d (initial)
ـدـ,d (medial)
ـد,d (final)
ذ,dh (isolated)
ذـ,dh (initial)
ـذـ,dh (medial)
ـذ,dh (final)
ر,r (isolated)
رـ,r (initial)
ـرـ,r (medial)
ـر,r (final)
ز,z (isolated)
زـ,z (initial)
ـزـ,z (medial)
ـز,z (final)
س,s (isolated)
سـ,s (initial)
ـسـ,s (medial)
ـس,s (final)
ص,ṣ (isolated)
صـ,ṣ (initial)
ـصـ,ṣ (medial)
ـص,ṣ (final)
ض,ḍ (isolated)
ضـ,ḍ (initial)
ـضـ,ḍ (medial)
ـض,ḍ (final)
ط,ṭ (isolated)
طـ,ṭ (initial)
ـطـ,ṭ (medial)
ـط,ṭ (final)
ظ,ẓ (isolated)
ظـ,ẓ (initial)
ـظـ,ẓ (medial)
ـظ,ẓ (final)
ع,ʿ (isolated)
عـ,ʿ (initial)
ـعـ,ʿ (medial)
ـع,ʿ (final)
غ,gh (isolated)
غـ,gh (initial)
ـغـ,gh (medial)
ـغ,gh (final)
ف,f (isolated)
فـ,f (initial)
ـفـ,f (medial)
ـف,f (final)
ق,q (isolated)
قـ,q (initial)
ـقـ,q (medial)
ـق,q (final)
ك,k (isolated)
كـ,k (initial)
ـكـ,k (medial)
ـك,k (final)
ل,l (isolated)
لـ,l (initial)
ـلـ,l (medial)
ـل,l (final)
م,m (isolated)
مـ,m (initial)
ـمـ,m (medial)
ـم,m (final)
ن,n (isolated)
نـ,n (initial)
ـنـ,n (medial)
ـن,n (final)
ه,h (isolated)
هـ,h (initial)
ـهـ,h (medial)
ـه,h (final)
ي,y (isolated)
يـ,y (initial)
ـيـ,y (medial)
ـي,y (final)
ورد,ward (rose)
كتاب,kitāb (book)
بيت,bayt (house)
كلب,kalb (dog)
قلم,qalam (pen)
تفاح,tuffāḥ (apple)
دجاج,dajāj (chicken)
ماء,mā' (water)
نجم,najm (star)
شجرة,shajarah (tree)
قط,qiṭṭ (cat)
فراشة,farāshah (butterfly)
طاولة,ṭāwilah (table)
كرسي,kursī (chair)
سماعة,samāʿah (headphone)
صديق,ṣadīq (friend)
حقيبة,ḥaqībah (bag)
سيارة,sayyārah (car)
مفتاح,mifṭāḥ (key)
شباك,shubbāk (window)
خس,khuṣ (lettuce)
جميلة,jamīlah (beautiful)
قطة,qiṭṭah (female cat)
حلوى,ḥalwā (sweet)
قهوة,qahwah (coffee)
مطبخ,maṭbakh (kitchen)
أسد,asad (lion)
جرس,jaras (bell)
قفاز,qufāz (glove)
نهر,nahr (river)
فيل,fīl (elephant)
عصفور,ʿuṣfūr (sparrow)
مظلة,maẓallah (umbrella)
كعكة,kaʿkah (cake)
سردين,sardīn (sardine)
زر,zar (button)
خاتم,khātim (ring)
لعبة,luʿbah (game)
سيجارة,sigārah (cigarette)
محطة,maḥaṭṭah (station)
مستشفى,mustashfā (hospital)
